Apex Ministry/Dept/State,Parent of Organisation,org_code,org_name,contact_address1,contact_address2,contact_address3,pincode,pg_officer_desig,Organisation levels
Government of Gujarat,SPPR1,SPCTP,ROAD AND BUILDING DEPARTMENT,OFFICE OF THE EXECUTIVE ENGINEER,PANCHAYATR R AND B DIVISION,TAPI-VYARA,394650,EXECUTIVE ENGINEER,6
Government of Gujarat,HD02 Deputy Secretary Complaints,SPDAH,SP Dahod,Superintendent of Police,Dahod, ,NA,SP Dahod,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPDAN,SP Dang Ahwa,Superintendent of Police,Dang, ,NA,SP Dang,4
Government of Gujarat,Commissionerate of Higher Education,SPDAU,SARDAR PATEL UNIVERSITY,SARDAR PATEL UNIVERSITY,UNIVERSITY ROAD,ANAND,388120,ADDITIONAL COMMISSIONER,5
Government of Gujarat,SPPR1,SPCDG,ROAD AND BUILDING DEPARTMENT,OFFICE OF THE EXECUTIVE ENGINEER,PANCHAYAT R AND B DIVISION  JILL PANCHAYAT BHAVAN ,AHWA,394720,EXECUTIVE ENGINEER,6
Government of Gujarat,HD02 Deputy Secretary Complaints,SPCHU,SP Chhotaudepur,Superintendent of Police,Chhotaudepur, ,NA,SP Chhotaudepur,4
Government of Gujarat,USPR1,SPCPR,SPCPR,SURAT, , ,NA,SPC,5
Government of Gujarat,SPPR1,SPCNV,ROAD AND BUILDING DEPARTMENT,OFFICE OF THE EXECUTIVE ENGINEER PANCHAYAT R AND B, DIVISION JILLA PANCHAYAT BHAVAN NAVSARI,NA,396445,EXECUTIVE ENGINEER,6
Government of Gujarat,Collector Office Surat,SPCIT,Prant Officer Surat City,Jilla Seva Sadan-2  A Block 3rd Floor  Athwali Sur,at.,NA,NA,Prant Officer Surat City,4
Government of Gujarat,CEPN1,SPC01,SPC01,SURAT, , ,NA,SPC,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPBOT,SP Botad,Superintendent of Police,Botad, ,NA,SP Botad,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPBHV,SP Bhavnagar,Superintendent of Police ,Bhavnagar, ,NA,SP Bhavnagar,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPBHA,SP Bharuch,Superintendent of Police,Bharuch, ,NA,SP Bharuch,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPARV,SP Arvalli Modasa,Superintendent of Police,Arvalli Modasa, ,NA,SP Arvalli Modasa,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPBAN,SP Banaskantha,Superintendent of Police,Banaskantha, ,NA,SP Banaskantha,4
Government of Gujarat,Collector Office Surat,SPBAR,Prant Officer Bardoli,first floor,NA,NA,NA,Prant Officer Bardoli,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPAHD,SP Ahmedabad Rural,Superintendent of Police ,Ahmedabad Rural., ,NA,SP Ahmedabad Rural,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPANA,SP Anand,Superintendent of Police ,Anand., ,NA,SP Anand,4
Government of Gujarat,HD02 Deputy Secretary Complaints,SPAMR,SP Amreli,Superintendent of Police ,Amreli, ,NA,SP Amreli,4
Government of Gujarat,US ROSTER,SORS1,SOCIAL JUSTICE DEPARTMENT,BLOCK 5/8,SACHIVALAYA,GANDHINAGAR,NA,SECTION OFFICER,5
Government of Gujarat,Gujarat Urban Development Mission,SONG1,TAPI1,SONGADH NAGARPALIKA, , ,394670,Chief Officer,5
Government of Gujarat,Regional Commissioner Surat,SONNP,Songadh Nafarpalika,Songadh Nagarpalika,Main Road - Opp Bus Stand,Fort Songadh Dist- Tapi,394670,Chief Officer,6
Government of Gujarat,Regional Commissioner Surat,SONP2,Songadh Nagarpalika,Opp.ST BUS STATION  FORT- SONGADH  DIST-TAPI  PIN-, , ,394670,Chief Officer,6
Government of Gujarat,Regional Commissioner Surat,SONP3,Songadh Nagarpalika,Opp.ST BUS STATION  FORT- SONGADH  DIST-TAPI  PIN-, , ,394670,Chief Officer,6
Government of Gujarat,RCM Surat,SONP5,Songadh Nagarpalika,Opp.ST BUS STATION  FORT- SONGADH  DIST-TAPI  PIN-,.,NA,394670,Chief Officer,6
Government of Gujarat,US Land Acquisition,SONBR,N BRANCH,NARMADA DEPARTMENT, , ,382010,SECTION OFFICER,4
Government of Gujarat,Tapi DMO,SONCO,nagar sevasadan songadh,nagar sevasadan songadh,songadh, ,NA,Chief officer,6
Government of Gujarat,Commissionr Kutir and Gramodhyog,SOMGM,DIC Gir Somnath,Purohit Nivas  Khadkhad Sheri No.2 ,Near New Ram Mandir ,Beside Collector Office  Veraval,365150,General Manager,4
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SKKCO,Sikka Nagarpalika,Sikka Nagarpalika Office,Jamnagar, ,NA,Chief Officer,5
Government of Gujarat,JAMNAGAR DMO,SKKNP,SIKKA NAGARPALIKA,SIKKA NAGARPALIKA OFFICE,JAMANGAR, ,NA,Chief Officer,6
Government of Gujarat,JAMNAGARCORPORATION,SKKNU,SIKKA NAGARPALIKA,SIKKA NAGARPALIKA, , ,NA,CHIEF OFFICER,6
Government of Gujarat,Gujarat Urban Development Mission,SKUN1,Skundala Nagarpalika,Skundala Nagarpalika, , ,NA,chief officer,5
Government of Gujarat,SJED Scheduled Caste,SKV01,Gujarat Safai Kamadar Development Corporation,Block no 1  B-1  Karmayogi Bhavan,Sector 10/A,GANDHI NAGAR,382010,Managing Director,4
Government of Gujarat,Gujarat Urban Livelihood Mission,SK111,Himmatnagar DMO,Himmatnagar, , ,NA,DMO,5
Government of Gujarat,SLBC,SKDCB,The Sabarkantha Distt Central Coop Bank Ltd,Sahkar Vikas Bhavan,Station Road,Himatnagar,383001,General Manager,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SKDMO,DISTRICT OFFICE,SABARKANTHA DIST. OFFICE,SABARKANTHA, ,NA,DMO,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SJTCO,Sojitra Nagarpalika,Sojitra Nagarpalika Office,Anand, ,NA,Chief Officer,5
Government of Gujarat,Anand DMO,SJTNP,Sojitra Nagarpalika,Sojitra Nagarpalika Office,Anand, ,NA,Chief Officer,6
Government of Gujarat,Anand,SJTNU,Sojitra Nagarapalika,Sojitra, , ,NA,Chief Officer,6
Government of Gujarat,Collector Office Devbhumi Dwarka,SLR12,Suprintendent of Land Record,Jilla Seva Sadan Lalpur By Pass Highway,Dharampur,Khambhalia,361305,Suprintendent of Land Record,4
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SLYCO,Salaya Nagarpalika,Salaya Nagarpalika Office,Devbhumi Dwarka, ,NA,Chief Officer,5
Government of Gujarat,DEVBHUMIDWARKA DMO,SLYNP,SALAYA NAGARPALIKA,SALAYA NAGARPALIKA OFFICE,DEV BHUMI DWARKA, ,NA,Chief Officer,6
Government of Gujarat,DEVBHUMI DWARKA,SLYNU,SALAYA Nagarpalika Office,SALAYA, , ,NA,Chief Officer,6
Government of Gujarat,Collector Office Surat,SLAQ1,Land Acquisition Office Branch1,A/4  multilevel building,Nanpura surat, ,395003,Deputy collector,4
Government of Gujarat,Collector Office Surat,SLAQ4,Land Acquisition Office Branch 4,A/5 Bahumali Building,Nanpura,Surat,NA,Deputy Mamlatadar,4
Government of Gujarat,Collector Office Surat,SLAQG,OFFICER ON SPECIAL DUTY GIDC,Ground Flore  Vikas Building,Dutch Garden road,Nanpura,395001,Deputy Mamlatdar,4
Government of Gujarat,DIRECTOR OF SCHEDULE CASTE,SKSWO,DISTRICT  SOCIAL WELFARE OFFICER,District Social Welfare Office,Social Welfare Branch  District Panchayat Office,Himatnagar  Dist. Sabarkantha,NA,SOCIAL WELFARE OFFICER,5
Government of Gujarat,Collector Office Surat,SMCHO,Mamlatdar Chorasi,Jilla Seva Sadan-2  A Block  2nd Floor  Athwalin, , ,NA,Mamlatdar Chorasi,4
Government of Gujarat,Collector Office Surat,SMCCZ,SURAT MUNICIPAL CORPORATION,Surat Mahanagar Seva Sadan,Mugalisara,Surat,395003,Assit municipal commissioner,4
Government of Gujarat,Gujarat Urban Development Mission,SMCO1,SURAT MUNICIPALITY CORPORATION,Surat,NA,NA,NA,MUNICIPAL COMMISSIONER,5
Government of Gujarat,Affordable Housing Mission,SMCPG,SURAT MUNICIPAL CORPORATION,SURAT MUNICIPAL CORPORATION GORDHANDAS CHOKHAWALA ,MARG  MUGLISARA SURAT,NA,395003,Dy. ENGINEER,5
Government of Gujarat,ICDS Commissionerate,SMCPO,Programme officer,Programme officer,Surat Municipal Corporation,Surat,NA,Doctor,4
Government of Gujarat,HOUSING,SMCUD,Surat Municipal Corporation,Slum Upgradtion Department,2nd Floor Old Rander Zone Office,Tadwadi Area Rander Road Surat,395009,Deputy Engineer  Slum Upgrada,4
Government of Gujarat,Industries Commissioner,SLTEX,SALT TEXTILE,BLOCK NO 1 3RD FLOOR,UDYOG BHAVAN,GANDHINAGAR,382011,JT. COMMISSIONER OF INDUSTRIES,5
Government of Gujarat,Gujarat Housing Board,SLUM1,SLUM CLEARANCE CELL GHB AHMEDABAD,OFFICE OF THE SLUM CLEARANCE CELL,GHB  2ND FLOOR  G.H.B. BUILDING ,PRAGATINAGAR  NARANPURA  AHMEDABAD,380013,OFFICER ON SPECIAL DUTY,5
Government of Gujarat,Collector Office Surat,SMADA,MAMADAJAN,Collector Office  Nanpura  Surat, , ,NA,MAMLATDAR ADAJAN,4
Government of Gujarat,Collector Office Surat,SMBAR,Mamlatdar Bardoli,Mamlatdar Office  Bardoli, , ,NA,Mamlatdar Bardoli,4
Government of Gujarat,CORPORATIONS,SMC02,Surat Municipal Corporation,Surat Municipal Corporatation Mugalisara Surat,NA,NA,395003,Municipal Commisioner,4
Government of Gujarat,TOWN PLANNIG,SMC10,SURAT MUNICIPAL CORPORATION,MUGLISARA SURAT,NA,NA,395003,MUNICIPAL COMMISSIONER,4
Government of Gujarat,EE BHAVNAGAR ZONAL,SNRCO,PGVCL CIRCLE OFFICE SURENDRANGAR,CIRCLE OFFICE   OPP KAILASH PARK SOCIETY,BUSSTAND ROAD  SURENDRANGAR, ,363001,DEPUTY ENGINEER,7
Government of Gujarat,Collector Office Surat,SNHAO,National Highways Authority Of India,Piplod,Surat, ,394370,Project Director,4
Government of Gujarat,Tapi DMO,SNGNP,SONGADH NAGARPALIKA,SONGADH NAGARPALIKA OFFICE,TAPI, ,NA,Chief Officer,6
Government of Gujarat,TAPI,SNGNU,SONGADH Nagarpalika Office,SONGADH, , ,NA,Chief Officer,6
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SNGCO,Songadh Nagarpalika,Songadh Nagarpalika Office,Tapi, ,NA,Chief Officer,5
Government of Gujarat,Regional Commissioner Ahmedabad,SNG03,SURENDRANAGAR NAGARPALIKA,SURENDRANAGAR NAGARPALIKA,NA,NA,363001,CHIEF OFFCER,6
Government of Gujarat,Regional Commissioner Ahmedabad,SNG04,SURENDRANAGAR NAGARPALIKA,SURENDRANAGAR NAGARPALIKA, , ,NA,CHIEF OFFICER,6
Government of Gujarat,Regional Commissioner Ahmedabad Zone,SNG05,SURENDRANAGAR NAGARPALIKA,SURENDRANAGAR NAGARPALIKA, , ,NA,CLERK,6
Government of Gujarat,Commissionr Kutir and Gramodhyog,SNDGM,DIC Surendranagar,Behind Collector Office ,Surendranagar, ,363040,General Manager,4
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SNDMO,DISTRICT OFFICE,SURENDRANAGAR DIST. OFFICE,SURENDRANAGAR, ,NA,DMO,5
Government of Gujarat,Ahmedabad DMO,SNDNP,Sanad Nagarpalika,Sanad Nagarpalika Office,Ahmedabad, ,NA,Chief Officer,6
Government of Gujarat,AHMEDABAD,SNDNU,sanand Nagarpalika Office,SANAND, , ,NA,Chief Officer,6
Government of Gujarat,Regional Commissioner Ahmedabad,SND60,SANAND NAGARPALIKA,SANAND NAGARPALIKA, , ,NA,CHIEF OFFICER,6
Government of Gujarat,SLBC,SNDCB,The Surendranagar District Coop.Bank Ltd.,Sahkar Bhavan  M.G. Road,Opp. Satta Hall  Near Punjab National Bank,Surendranagar,363001,Establisment Officer,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SNDCO,sndco123,Sanand Nagarpalika,Nagarpalika Office, ,NA,Chief Officer,5
Government of Gujarat,Regional Commissioner Ahmedabad,SND03,SANAND NAGARPALIKA,SANAND NAGARPALIKA, , ,NA,CHIEF OFFICER,6
Government of Gujarat,Regional Commissioner Ahmedabad,SND04,SANAND NAGARPALIKA,SANAND NAGARPALIKA, , ,NA,CHIEF OFFICER,6
Government of Gujarat,Regional Commissioner Ahmedabad Zone,SND05,SANAND NAGARPALIKA,SANAND NAGARPALIKA, , ,NA,CHIEF OFFICER,6
Government of Gujarat,Collector Office Surat,SMOLP,Mamlatdar Olpad,Mamlatdar Office  Olpad  Taluka Olpad  District, , ,NA,Mamlatdar Olpad,4
Government of Gujarat,Collector Office Surat,SMPAL,Mamlatdar Office Palsana,Mamlatdar Office  Palsana, , ,NA,Mamlatdar Office Palsana,4
Government of Gujarat,Collector Office Surat,SMKAM,Mamlatdar Kamrej,Mamlatdar Office  Kamrej Char Rasta  Kamrej,NA,NA,NA,Mamlatdar Kamrej,4
Government of Gujarat,Collector Office Surat,SMKAT,Mamlatdar Surat City Katargam,Old Collector Office Nanpura,NA,NA,NA,Mamlatdar Surat City Katargam,4
Government of Gujarat,Collector Office Surat,SMMAG,Mamlatdar Mangrol,Mamlatdar Office  Mangrol  Taluka Mangrol  Distri,NA,NA,NA,Mamlatdar Mangrol,4
Government of Gujarat,Collector Office Surat,SMMAH,Mamlatdar Mahuva,Mamlatdar Office  Mahuva, , ,NA,Mamlatdar Mahuva,4
Government of Gujarat,Collector Office Surat,SMMAJ,Mamlatdar Surat City Majura,Mamlatdar Office of SuratCity Taluka  Athwalines ,NA,NA,NA,MAMLATDAR MAJURA,4
Government of Gujarat,Collector Office Surat,SMMAN,Mamlatdar Mandvi,Mamlatdar Office  Mandvi  Taluka Mandvi  District, , ,NA,Mamlatdar Mandvi,4
Government of Gujarat,Affordable Housing Mission,SMUDD,SURAT MUNICIPAL CORPORATION,SURAT, , ,NA,ENGINEER,5
Government of Gujarat,Collector Office Surat,SMUDH,Mamlatdar Surat City Udhna,Mamlatdar Office of SuratCity Taluka  Athwalines , , ,NA,Mamlatdar Surat City Udhna,4
Government of Gujarat,Collector Office Surat,SMUMA,Mamlatdar Umarpada,Mamlatdar Office Umarpada  Taluka Umarpada  Distr,NA,NA,NA,Mamlatdar Umarpada,4
Government of Gujarat,Collector Office Surat,SMPUN,Mamlatdar Surat City Puna IC,Old Collector Office  Ground Floor ,Nanpura ,Surat,395001,Mamlatdar Surat City Puna,4
Government of Gujarat,DIRECTORATE OF HIGHER EDUCATION,SMSDE,Somnath Sanskrut University,Somnath, , ,NA,Registrar,4
Government of Gujarat,Gujarat Urban Livelihood Mission,SN111,SURENDRANAGAR,Surendranagar, , ,NA,DMO,5
Government of Gujarat,INQUIRY HFWD,SOFFD,HEALTH AND FAMILY WELFARE DEPT,7/8  SARDAR BHAVAN  SECRETARIATE  GAMNDHINAGAR, , ,382010,SECTION OFFICER,4
Government of Gujarat,INQUIRY HFWD,SOFL2,HEALTH AND FAMILY WELFARE DEPARTMENT,7/8  SARDAR BHAVAN  SECRETARIATE  GANDHINAGAR, , ,382010,SECTION OFFICER,4
Government of Gujarat,US Pers Home,SOIPS,SO B IPS Home,Block 2/2 Home Department,New Sachivalaya  Gandhinagar, ,382010,Section Officer B IPS Home,5
Government of Gujarat,ADDITIONAL SECRETARY IT,SOIT1,Department of Science and Technology,Block no 7  5 th floor,new sachivalay,gandhinagar,382010,Section Officer IT,4
Government of Gujarat,Deputy Secretary IT,SOITE,Section Officer IT,Block-8/3,New Sachiwalaya,Gandhinagar,382010,UNDER SECRETARY,4
Government of Gujarat,DISTRICT OFFICE,SOJCO,nagar sevasadan Sojitra,nagar sevasadan Sojitra,Sojitra, ,NA,Chief officer,6
Government of Gujarat,UNDER SECRETARY HOUSING,SOKBR,K BRANCH,Panchayat RHD and RDD  Block No- 8/5,New Sachivalay,Gandhinagar,NA,Section Officer,5
Government of Gujarat,Anand DMO,SOJI1,Sojitra Nagapalika,Sojitra Nagapalika,Sojitra,Dist Anand,387240,Chief Officer,6
Government of Gujarat,Gujarat Urban Development Mission,SOJIT,SOJITRA NAGARPALIKA,SOJITRA NAGARPALIKA, , ,NA,CHIEF OFFICER,5
Government of Gujarat,Agriculture and cooperation Dpt DS,SOK01,scerection Officer sok01,Agricalture and Cooperation Dpt,Block No 5/1 sachivaliya,Gandhinagar,382010,Deputy Secretary,4
Government of Gujarat,Agriculture and cooperation Dpt DS,SOK04,Section Officer,Agriculture and Cooperation Dept.,Block No. 5/1  Sachivalaya  Gandhinagar, ,382010,Deputy Secretary,4
Government of Gujarat,Agriculture and cooperation Dpt DS,SOK05,Section Officer,Agriculture and Cooperation Dept.,Block No.5/1  Sachivalaya  Gandhinagar, ,382010,Deputy Secretary,4
Government of Gujarat,Agriculture and cooperation Dpt DS,SOK09,Section Officer,Agriculture and Cooperation Dept.,Block No.5/1  Sachivalaya  Gandhinagar, ,382010,Deputy Secretary,4
Government of Gujarat,Agriculture and cooperation Dpt DS,SOKO6,Sectioner Officer,Agriculture and Cooperation Dept.,Block No.5/1  Sachivalaya  Gandhinagar, ,382010,Deputy Secretary,4
Government of Gujarat,Deputy Secretery Establishment,SOKHB,Section Officer KH Branch,Block 8/5,New Sachivalay,Gandhinagar,382010,Section Officer,4
Government of Gujarat,UNDER SECRETARY HOUSING,SOLBR,L Branch,Panchayat RHD and RDD   Block No- 8/5  ,New Sachivalay,Gandhinagar,NA,Section Officer,5
Government of Gujarat,Home Department,SNRSP,SP Surendranagar,27-a avadh park-a,NA,NA,NA,SP Surendranagar,3
Government of Gujarat,Examination Section,SO1EX,dhabeliya sir,saurastra university,rajkot, ,360005,section officer,6
Government of Gujarat,Examination Section,SO2EX,Exam 2,Examination Section,Saurashtra University,University Road,360005,Section Officer,6
Government of Gujarat,Examination Section,SO3EX,Section Officer Three,Examination Section,saurashtra university,rajkot,360005,Section Officer,6
Government of Gujarat,Examination Section,SO4EX,section officer,examination sectinon,saurashtra university,rajkot,360005,section officer,6
Government of Gujarat,Examination Section,SO5EX,Section Office Five,Saurashtra Unversity,University Road,RAJKOT,360005,Section Officer,6
Government of Gujarat,Examination Section,SO6EX,section officer six,examination section,saurashtra university,rajkot,360005,section officer,6
Government of Gujarat,Examination Section,SO7EX,section officer seven,examination section,saurashtra university,rajkott,360005,section officer,6
Government of Gujarat,Deputy Secretery Establishment,SODBR,Section Officer D BRanch,Block 8/5,New Sachivalay,Gandhinagar,382010,Section Officer,4
Government of Gujarat,US Pers Home,SOB1H,SO B1 DySP Home,Block 2/2 Home Department,New Sachivalaya Gandhinagar, ,382010,SO B1 DySP Home,5
Government of Gujarat,DENA BANK,SGBGJ,SAURASHTRA GRAMIN BANK,Head Office  Wing-2  1st Floor,LIC Jeevan Prakash Building,Tagore Road Rajkot,360001,Chief Manager,5
Government of Gujarat,SLBC,SGRGJ,Saurashtra Gramin Bank,Head Office  Wing-2  1st Floor ,LIC Jeevan Prakash Building ,Tagore Road Rajkot,360001,Chief Manager,5
Government of Gujarat,Zone Office Vadodara,SGODH,SE PHC GODHARA,Mangalmurti Complex Second Floor  Opp.Jain Society,Dahod Road Godhara, ,NA,Superintending Engineer,6
Government of Gujarat,OSDS1,SHDP1,SHDP1,GANDHINAGAR, , ,382010,SE,4
Government of Gujarat,Gujarat Urban Development Mission,SHAR1,Shahera Nagarpalika,Shahera Nagarpalika, , ,NA,Chief Officer,5
Government of Gujarat,RCM Gandhinagar,SID11,Sidhhpur Nagarapalika,Sidhhpur Nagarapalika,Sidhhpur Nagarapalika,Sidhhpur Nagarapalika,382010,Chief  officer,6
Government of Gujarat,Regional Commissioner Gandhinagar,SID12,sidhhpur nagarapalika,Station Road  Near Old Towar  Sidhhpur, , ,NA,chief officer,6
Government of Gujarat,Regional Commissioner Gandhinagar,SID45,Sidhhpur Nagarapalika,Sidhhpur, , ,NA,Chief Officer,6
Government of Gujarat,SLBC,SIBGJ,The South Indian Bank Limited,Regional Office Shop No. 417  Fourth Floor ,Sakar 7  Nehru Bridge Jn.  Ashram Road ,Ahmedabad,380009,DGM and Regional Head,5
Government of Gujarat,PANCHMAHAL DMO,SHRNP,Shahera Nagarpalika,Shahera Nagarpalika Office,Panchmahal, ,NA,Chief Officer,6
Government of Gujarat,PANCHAMAHAL,SHRNU,Shahera nagarpalika,Shahera nagarpalika, , ,NA,Chief Officer,6
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SHRCO,Shahera Nagarpalika,Shahera Nagarpalika Office,Panchmahal, ,NA,Chief Officer,5
Government of Gujarat,JAMNAGAR DMO,SIKCO,nagar seva sadan Sikka,nagar seva sadan Sikka,Sikka, ,NA,Chief officer,6
Government of Gujarat,Gujarat Urban Development Mission,SIKK1,Sikka Nagarpalika,Sikka Nagarpalika, , ,NA,Chief Officer,5
Government of Gujarat,Gujarat Urban Development Mission,SIDH1,Sidhhpur Nagarpalika,Sidhhpur Nagarpalika, , ,NA,Chief Officer,5
Government of Gujarat,Mahatma Gandhi Swatchchta Mission Urban,SIHCO,Sihor Nagarpalika,Sihor Nagarpalika Office,Bhavnagar, ,NA,Chief Officer,5
Government of Gujarat,Bhavnagar DMO,SIHNP,SIHOR NAGARPALIKA,SIHOR NAGARPALIKA OFFICE,BHAVNAGAR, ,NA,Chief Officer,6
Government of Gujarat,bhavnagar,SIHNU,SHIHOR NAGARPALIKA,SHIHOR, , ,NA,Chief Officer,6
Government of Gujarat,Gujarat Urban Development Mission,SIHO1,Sihor Nagarpalika,Sihor Nagarpalika, , ,NA,Chief Officer,5
Government of Gujarat,Regional Commissioner Bhavnagar,SIHOR,Sihor Nagarpalika,Muni Choak ,Sihor, ,364240,Chief Officer,6
Government of Gujarat,Regional Commissioner Bhavnagar,SIHRN,Sihor Nagarpalika,Muni Choak ,Main Bazar ,Sihor,364240,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,SIK23,SIKKA NAGAR PALIKA,NEAR OVER HEAD TANK ,MAIN ROAD- SIKKA, ,361140,Chief Officer,6
Government of Gujarat,Rajkot Regional Commissioner,SIK24,SIKKA NAGAR PALIKA,NEAR OVER HEAD TANK ,MAIN ROAD- SIKKA, ,361140,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,SIK11,Sikka Nagarpalika,NEAR OVER HEAD TANK ,MAIN ROAD- SIKKA, ,361140,Chief Officer,6
Government of Gujarat,Regional Commissioner Rajkot,SIK12,Sikka Nagarpalika,NEAR OVER HEAD TANK  MAIN ROAD- SIKKA, , ,361140,Chief Officer,6
Government of Gujarat,Social Justice and Empowerment Department,SJE01,SJED Developing Caste,Block No.5  9th Floor ,Sachivalaya ,Gandhinagar,382010,Additional Secretary,3
Government of Gujarat,Social Justice and Empowerment Department,SJE02,SJED Scheduled Caste,Block No.5  9th Floor ,Sachivalaya ,Gandhinagar.,382010,Joint Secretary,3
Government of Gujarat,Social Justice and Empowerment Department,SJE03,SJED Social Defence,Block No.5  9th Floor ,Sachivalaya ,Gandhinagar.,382010,Deputy Secretary,3
Government of Gujarat,Social Justice and Empowerment Department,SJE04,SJED Roster,Block No.5  9th Floor ,Sachivalaya ,Gandhinagar.,382010,Deputy Secretary,3
Government of Gujarat,Social Justice and Empowerment Department,SJE05,SJED Establishment,Block No.5  9th Floor ,Sachivalaya ,Gandhinagar.,382010,Joint Secretary,3
Government of Gujarat,Commissioner of Commercial Tax Gujarat,SJC02,JOINT COMMISSIONER,3rd Floor  Rajya Kar Bhavan Ashram Road  Ahmedabad,NA,NA,380009,JOINT COMMISSIONER 2,5
Government of Gujarat,Commissioner of Commercial Tax Gujarat,SJC03,JC3,BLOCK NO20  DR. JIVRAJ MEHTA BHAVAN  OLD SACHIVALA,Y  Gandhinagar,NA,NA,JOINT COMMISSIONER,5
Government of Gujarat,Commissioner of Commercial Tax Gujarat,SJC04,JC4,BLOCK NO.2 2ND FLR MULTI STOREYED BLDG MAHESANA,NA,NA,NA,JOINT COMMISSIONER,5
Government of Gujarat,Commissioner of Commercial Tax Gujarat,SJC05,JC5,I - BLOCK 1ST FLOOR KUBER BHAVAN VADODARA,NA,NA,NA,JOINT COMMISSIONER,5
Government of Gujarat,Commissioner of Commercial Tax Gujarat,SJC06,JC6,I - BLOCK 1ST FLOOR KUBER BHAVAN VADODARA,NA,NA,NA,JOINT COMMISSIONER,5
Government of Gujarat,Commissioner of Commercial Tax Gujarat,SJC07,JC7,C block  3rd floor  Joint Commissioner of state ta,x office,NA,395001,JOINT COMMISSIONER,5
